Name;Units;Attack;Hit;Wound;Rend;Damage;Crit;Champions;Ability;Points;Squads;Range;Lastwpn;additionalWeapons
WarplockJezzailsWarpcogAlloutAtk;3;2;4;3;2;2;Auto Wound;1;Warpcog-AlloutAttack;150;1;18;TRUE;NoWpn
WarplockJezzailsWarpcog;3;2;4;3;2;2;Auto Wound;1;Warpcog;150;1;18;TRUE;NoWpn
WarplockJezzailsAlloutAtk;3;2;4;3;2;2;Auto Wound;1;AlloutAttack;150;1;18;TRUE;NoWpn
WarplockJezzails;3;2;4;3;2;2;Auto Wound;1;NoAbility;150;1;18;TRUE;NoWpn
RatlingGunWarpcogAlloutAtk;3;10.5;4;4;1;1;2 Hits;0;Warpcog-AlloutAttack;150;1;15;TRUE;NoWpn
RatlingGunWarpcog;3;10.5;4;4;1;1;2 Hits;0;Warpcog;150;1;15;TRUE;NoWpn
RatlingGunAlloutAtk;3;10.5;4;4;1;1;2 Hits;0;AlloutAttack;150;1;15;TRUE;NoWpn
RatlingGun;3;10.5;4;4;1;1;2 Hits;0;NoAbility;150;1;15;TRUE;NoWpn
WarpfireThrowerWarpcogAlloutAtk;3;7;2;4;2;1;NoCrit;0;Warpcog-AlloutAttack;140;1;10;TRUE;NoWpn
WarpfireThrowerWarpcog;3;7;2;4;2;1;NoCrit;0;Warpcog;140;1;10;TRUE;NoWpn
WarpfireThrowerAlloutAtk;3;7;2;4;2;1;NoCrit;0;AlloutAttack;140;1;10;TRUE;NoWpn
WarpfireThrower;3;7;2;4;2;1;NoCrit;0;NoAbility;140;1;10;TRUE;NoWpn
WarpvoltScourgersWarpcogAllouAtk;3;7;2;4;1;1;2 Hits;0;Warpcog-AlloutAttack;190;1;15;TRUE;NoWpn
WarpvoltScourgersWarpcog;3;7;2;4;1;1;2 Hits;0;Warpcog;190;1;15;TRUE;NoWpn
WarpvoltScourgersAlloutAtk;3;7;2;4;1;1;2 Hits;0;AlloutAttack;190;1;15;TRUE;NoWpn
WarpvoltScourgers;3;7;2;4;1;1;2 Hits;0;NoAbility;190;1;15;TRUE;NoWpn
